PRDT_CD,ITEM_GROUP,SH_STOCK_QTY,FILE,IMG_URL
M26N3ACPB316N,볼캡/햇/비니,159,M26N3ACPB316N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB316N50COP/thnail/F32DD89495334BE0A6276F3007A32283.png/dims/resize/1200x1200
M26S3ASCB0363,시즌모자,153,M26S3ASCB0363.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASCB036307SBL/thnail/DF678B5A5F40419B8F13239DBBCD0274.png/dims/resize/1200x1200
M25N3ACPV185N,볼캡/햇/비니,146,M25N3ACPV185N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV185N50CGS/thnail/F419635666144817AB2204AB99C2190A.png/dims/resize/1200x1200
M26F3ACPB2766,볼캡/햇/비니,142,M26F3ACPB2766.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ACPB276643BRD/thnail/8467D5E65D274DDBBDE1B0C7B59CF719.png/dims/resize/1200x1200
M25N3ACPB055N,볼캡/햇/비니,141,M25N3ACPB055N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB055N50BKS/thnail/2CEF5796154C4DBD8BF96BBD9AFE7215.png/dims/resize/1200x1200
M25N3ACPV165N,볼캡/햇/비니,141,M25N3ACPV165N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV165N43RDD/thnail/71F5E24B00814152B0EBA8C21F89E082.jpg/dims/resize/1200x1200
M25N3ACPD035N,볼캡/햇/비니,125,M25N3ACPD035N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPD035N50GRS/thnail/D19246DDB5D94E60B2DCF78E5CB2B4F5.png/dims/resize/1200x1200
M26N3ACPB356N,볼캡/햇/비니,123,M26N3ACPB356N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB356N07BKS/thnail/8998C4C24EA846C1B71FE6BF0A2A5BB5.png/dims/resize/1200x1200
M25N3ACP8805N,볼캡/햇/비니,119,M25N3ACP8805N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACP8805N07NYS/thnail/748613889B3C4B499710930E511B1CCF.png/dims/resize/1200x1200
M26N3ACPV216N,볼캡/햇/비니,118,M26N3ACPV216N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPV216N50BKS/thnail/3BD7E44849C046F4995ED3A0211000D2.png/dims/resize/1200x1200
M25N3AHTB035N,볼캡/햇/비니,115,M25N3AHTB035N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3AHTB035N50BKS/thnail/D8914001746947B39E09B1000B956A75.png/dims/resize/1200x1200
M25N3ACPB915N,볼캡/햇/비니,109,M25N3ACPB915N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB915N50PKM/thnail/3D1B25507B364921A07EF0D1BAE3A4B4.png/dims/resize/1200x1200
M25N3ACPV285N,볼캡/햇/비니,108,M25N3ACPV285N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV285N50NYS/thnail/7865D20CABEF49F9BEF3507F5B104BE7.png/dims/resize/1200x1200
M26F3ABNBM266,볼캡/햇/비니,105,M26F3ABNBM266.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ABNBM26650CRD/thnail/361EBD29C97D4E99886A4DB50678552F.png/dims/resize/1200x1200
M26N3ACPB336N,볼캡/햇/비니,105,M26N3ACPB336N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB336N50SAM/thnail/CE22E658B16640BCAAF5DC2E9941C3FB.png/dims/resize/1200x1200
M25N3ACPV295N,볼캡/햇/비니,101,M25N3ACPV295N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV295N50CGS/thnail/F129C5935BA0438E8171C823B3D806ED.png/dims/resize/1200x1200
M26N3ACPB076N,볼캡/햇/비니,97,M26N3ACPB076N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB076N43CGD/thnail/77C178571D424924981064FCA175C653.png/dims/resize/1200x1200
M26N3ACPV196N,볼캡/햇/비니,95,M26N3ACPV196N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPV196N07BLL/thnail/D6F59F6584A546B8BB0A36EE440C30E3.png/dims/resize/1200x1200
M25N3ACPV215N,볼캡/햇/비니,94,M25N3ACPV215N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV215N50BLL/thnail/64B51E02DDDA4A8FA83B54D9ABA1E76E.png/dims/resize/1200x1200
M25N3ACPB905N,볼캡/햇/비니,91,M25N3ACPB905N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB905N50GRL/thnail/959ADE3395D8479480F9D869411E5D76.png/dims/resize/1200x1200
M25N3ACPB155N,볼캡/햇/비니,88,M25N3ACPB155N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB155N50BKS/thnail/6F7BDCE380094D1594C9D04C973B1F28.png/dims/resize/1200x1200
M26N3ACPB026N,볼캡/햇/비니,87,M26N3ACPB026N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB026N50BKS/thnail/9523F4936ED74197BE238E38D47A69E9.png/dims/resize/1200x1200
M26N3ACPB666N,볼캡/햇/비니,84,M26N3ACPB666N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB666N50NYS/thnail/B5237401F19C4A819033E8BDAAAB98B5.png/dims/resize/1200x1200
M25N3ACPB095N,볼캡/햇/비니,80,M25N3ACPB095N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB095N07NYS/thnail/38F70A326EB8438C8B9259B37C01A4B1.png/dims/resize/1200x1200
M26N3ACPBB16N,볼캡/햇/비니,80,M26N3ACPBB16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPBB16N50BKS/thnail/5CFF437888E2493B9F2EA29E6F556ECA.png/dims/resize/1200x1200
M25N3ACPB135N,볼캡/햇/비니,77,M25N3ACPB135N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPB135N50NYS/thnail/D007EF00719840EDAD257180C6A2367C.png/dims/resize/1200x1200
M26S3ABNV0163,볼캡/햇/비니,76,M26S3ABNV0163.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ABNV016350CRS/thnail/E320524CCA054D92A6C5075E770F838F.png/dims/resize/1200x1200
M24N3ACPVL64N,볼캡/햇/비니,73,M24N3ACPVL64N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M24N3ACPVL64N50PKM/thnail/DBBE721CEDB044C8AC8C7A16CC2F0E2F.png/dims/resize/1200x1200
M26N3ACPB036N,볼캡/햇/비니,71,M26N3ACPB036N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB036N50BKS/thnail/E76AD082048F424A81119D48A8F8DBAB.png/dims/resize/1200x1200
M25N3ACPV195N,볼캡/햇/비니,69,M25N3ACPV195N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ACPV195N50BKS/thnail/1D6CA7EBD22246D6B348FC393F17948E.png/dims/resize/1200x1200
M26N3ACPV206N,볼캡/햇/비니,69,M26N3ACPV206N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPV206N50CGS/thnail/70CB9313626A4495A230DEE000606900.png/dims/resize/1200x1200
M26N3ACPB176N,볼캡/햇/비니,59,M26N3ACPB176N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB176N07NYL/thnail/136E9ADFCAF74C1E8BC457C2EA859E28.png/dims/resize/1200x1200
M26N3ACPBB26N,볼캡/햇/비니,56,M26N3ACPBB26N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPBB26N07NYS/thnail/CAE06800C96949DCA00BBDA26C255035.png/dims/resize/1200x1200
M21N3ACP1201N,볼캡/햇/비니,55,M21N3ACP1201N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M21N3ACP1201N50NYS/thnail/5ED6684BC72F4C99BAD8EEF739A5EF00.png/dims/resize/1200x1200
M26N3ACPB066N,볼캡/햇/비니,53,M26N3ACPB066N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB066N50BKS/thnail/560AAD86E9BA4AE8806104C8A7E41B33.png/dims/resize/1200x1200
M26N3ACPB346N,볼캡/햇/비니,50,M26N3ACPB346N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB346N07BKS/thnail/13BC40314E2C4A4CB0DD16C0C99CEEF6.png/dims/resize/1200x1200
M26F3ABNB1166,볼캡/햇/비니,45,M26F3ABNB1166.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ABNB116650BKS/thnail/0FEEE2EDAB5D4ECE80862500FC816A79.png/dims/resize/1200x1200
M26S3ASCB0563,시즌모자,44,M26S3ASCB0563.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASCB056350BKS/thnail/B1E56591292C4E9EB416E5E9DD6D2A05.png/dims/resize/1200x1200
M26S3ABNB0363,볼캡/햇/비니,42,M26S3ABNB0363.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ABNB036350BKS/thnail/6149ADA518A94A58800CDDCD84F62DB1.png/dims/resize/1200x1200
M25N3AHTB025N,볼캡/햇/비니,34,M25N3AHTB025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3AHTB025N50BKS/thnail/C45296541CEB4CE889142419FE4590B0.png/dims/resize/1200x1200
M26N3AHTV026N,볼캡/햇/비니,30,M26N3AHTV026N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3AHTV026N50INS/thnail/F9AC70E7231B487B958A1981886B36DC.png/dims/resize/1200x1200
M26F3ABNB1766,볼캡/햇/비니,22,M26F3ABNB1766.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ABNB176643GRS/thnail/9FD5A764004A4F69AAE7A495EBEFE407.png/dims/resize/1200x1200
M26F3ABNB1866,볼캡/햇/비니,22,M26F3ABNB1866.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26F3ABNB186607CRP/thnail/520280DE9D95424281C6528047FC7F8F.png/dims/resize/1200x1200
M26S3AMCV0463,볼캡/햇/비니,21,M26S3AMCV0463.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3AMCV046350BRS/thnail/DA41D8716BFC4D6C8B58EA0EC1F8AF08.png/dims/resize/1200x1200
M26N3ACPB086N,볼캡/햇/비니,19,M26N3ACPB086N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACPB086N50BKS/thnail/368EFF4963D043A190866DBD08F217B9.png/dims/resize/1200x1200
