PRDT_CD,ITEM_GROUP,SH_STOCK_QTY,FILE,IMG_URL
M26N3ASHMC16N,운동화,35,M26N3ASHMC16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASHMC16N50WHS/thnail/F9F78445776A47F58CC4FACA74CF9D0E.png/dims/resize/1200x1200
M26N3ASXCB16N,캔버스화,35,M26N3ASXCB16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXCB16N50WHS/thnail/55B0493E905F49F197626CC8FB0B2485.png/dims/resize/1200x1200
M25N3ARNR025N,운동화,34,M25N3ARNR025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNR055N50SIS/thnail/4EEA364958F54A49B0990291E41CBB4D.png/dims/resize/1200x1200
M25N3ARNC045N,운동화,33,M25N3ARNC045N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNC055N50SIS/thnail/BC0A13B60AFB471AA766600BD46EBFE5.png/dims/resize/1200x1200
M26N3ARNCL16N,운동화,32,M26N3ARNCL16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ARNCL16N50WHS/thnail/3C01FD065D1D4821958C52FCAAC1A715.png/dims/resize/1200x1200
M25N3ASXW015N,캔버스화,32,M25N3ASXW015N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASXW015N50BRS/thnail/F45A9EFC82D84935881E8539FDF382F0.png/dims/resize/1200x1200
M24N3ASHC104N,운동화,31,M24N3ASHC104N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M24N3ASHC104N50BGL/thnail/25096A52738949DDA7D0B2C336E269EF.png/dims/resize/1200x1200
M25N3ASXD015N,캔버스화,31,M25N3ASXD015N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASXD015N50NYS/thnail/15DD5C8B4CB14F91B82D8C8B1FB0FA79.png/dims/resize/1200x1200
M26N3ACVS026N,캔버스화,31,M26N3ACVS026N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACVS026N07BLS/thnail/4311CBFAB52247128C12D7F0B601F221.png/dims/resize/1200x1200
M26N3ASXCE26N,캔버스화,31,M26N3ASXCE26N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXCE26N07SIS/thnail/002AC5B0F507461D8CB21FA2F86E226A.png/dims/resize/1200x1200
M26S3ALPPE163,시즌슈즈,30,M26S3ALPPE163.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ALPPE16350BKS/thnail/4203A8DF11544C138497C5268B2D0CDA.png/dims/resize/1200x1200
M25N3ARNSPE5N,운동화,29,M25N3ARNSPE5N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNSPE5N50BRS/thnail/88DD19C1730D401B87B4EE77297F6635.jpg/dims/resize/1200x1200
M26N3ASXL136N,캔버스화,27,M26N3ASXL136N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXM056N50GRS/thnail/B3F65F95DDAF48DF925639756E06A456.png/dims/resize/1200x1200
M25N3ASXT025N,캔버스화,26,M25N3ASXT025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASXT025N50IVS/thnail/B7DDAC8C72524CC49445D1675251F295.jpg/dims/resize/1200x1200
M26N3ACVSP16N,캔버스화,26,M26N3ACVSP16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXCE26N07SIS/thnail/002AC5B0F507461D8CB21FA2F86E226A.png/dims/resize/1200x1200
M25S3ASQR0253,시즌슈즈,25,M25S3ASQR0253.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ASQR025350BKS/thnail/8305EE148C544F95A11CA6DA071A3AA8.png/dims/resize/1200x1200
M25N3ASXE015N,캔버스화,25,M25N3ASXE015N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASXE015N50WHS/thnail/19E3AD7CEAF54825BD60FBDF24C136C1.png/dims/resize/1200x1200
M26N3ASXC026N,캔버스화,24,M26N3ASXC026N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXC016N50WHS/thnail/8000BAADA61740D8BD1022433EA93B41.png/dims/resize/1200x1200
M26N3ASHWC36N,운동화,22,M26N3ASHWC36N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASHWC36N50WHS/thnail/B0ABF6E4823344F08AF893115B8FF722.png/dims/resize/1200x1200
M25N3ARNR055N,운동화,21,M25N3ARNR055N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNR055N50SIS/thnail/4EEA364958F54A49B0990291E41CBB4D.png/dims/resize/1200x1200
M26N3ARNCR16N,운동화,21,M26N3ARNCR16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ARNCR16N07GRL/thnail/825BB9FB41F044189ED9314754A4247A.png/dims/resize/1200x1200
M26N3ASHWC46N,운동화,21,M26N3ASHWC46N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASHWC36N50WHS/thnail/B0ABF6E4823344F08AF893115B8FF722.png/dims/resize/1200x1200
M25N3ASXT035N,캔버스화,21,M25N3ASXT035N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASXT025N50IVS/thnail/B7DDAC8C72524CC49445D1675251F295.jpg/dims/resize/1200x1200
M25S3ASQRNB53,시즌슈즈,19,M25S3ASQRNB53.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ASQRNB5350BKS/thnail/7E18A86BB96547799FB86FBA8898DE2D.png/dims/resize/1200x1200
M25N3ARNR045N,운동화,19,M25N3ARNR045N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNR055N50SIS/thnail/4EEA364958F54A49B0990291E41CBB4D.png/dims/resize/1200x1200
M26N3ASHBCK6N,운동화,18,M26N3ASHBCK6N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASHBCK6N50BKS/thnail/3F68A3B6043B4322A48D0313C3747B34.png/dims/resize/1200x1200
M22N3ASXCA12N,캔버스화,18,M22N3ASXCA12N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M22N3ASXCA12N50IVS/thnail/8FB06C70623744BFB8B1228FD811235E.png/dims/resize/1200x1200
M25N3ARNA025N,운동화,17,M25N3ARNA025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNA025N07WHS/thnail/508F2978F33D47468879EFF8BE2716F1.png/dims/resize/1200x1200
M26N3ASHCV16N,운동화,17,M26N3ASHCV16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASHCV16N50IVS/thnail/6337916F076A4B368642D6AEDF24F87F.png/dims/resize/1200x1200
M26N3ASXMJS6N,캔버스화,17,M26N3ASXMJS6N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXMJ76N50WHS/thnail/17D6FB4261974EDE8FC7B30C349ED987.png/dims/resize/1200x1200
M26N3ARNCS16N,운동화,15,M26N3ARNCS16N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNC055N50SIS/thnail/BC0A13B60AFB471AA766600BD46EBFE5.png/dims/resize/1200x1200
M26N3ASXM036N,캔버스화,15,M26N3ASXM036N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXM036N50BGS/thnail/61BAEB31A4D744899A6C550737A6D645.png/dims/resize/1200x1200
M26N3ASXM086N,캔버스화,15,M26N3ASXM086N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXM086N50BGL/thnail/44D814E3D59448C69471A146E9B6228C.png/dims/resize/1200x1200
M26S3ASDPA163,시즌슈즈,14,M26S3ASDPA163.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASDPA16350CRL/thnail/BAFEFBF4BDA6488C946DCF7CC3374F10.png/dims/resize/1200x1200
M26S3ASDPA363,시즌슈즈,13,M26S3ASDPA363.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASDPA36350SIS/thnail/44E5100213414595B4407C49F65C7E55.png/dims/resize/1200x1200
M25N3ASHB025N,운동화,13,M25N3ASHB025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHB025N50MTS/thnail/005EDD6281944B84B5716913D559D397.png/dims/resize/1200x1200
M26N3ASXDP26N,캔버스화,13,M26N3ASXDP26N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXDP26N50SIS/thnail/84BBCC7F44864B8E8D26D210581EEF31.png/dims/resize/1200x1200
M26S3ASDCL163,시즌슈즈,12,M26S3ASDCL163.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASDCL16350WHS/thnail/6B71316E53A54297A122315938FC4F84.png/dims/resize/1200x1200
M26S3ASDCL263,시즌슈즈,12,M26S3ASDCL263.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26S3ASDCL16350WHS/thnail/6B71316E53A54297A122315938FC4F84.png/dims/resize/1200x1200
M25N3ARNP015N,운동화,11,M25N3ARNP015N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNP025N50WHS/thnail/E6554DAB58A94BDF8549DA224308B0AE.png/dims/resize/1200x1200
M25S3ASDACE53,시즌슈즈,10,M25S3ASDACE53.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ASDACE5350CRS/thnail/02D90F6C5B374B0195885C1E16055EE4.png/dims/resize/1200x1200
M25S3ASDC0153,시즌슈즈,10,M25S3ASDC0153.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ASDC015350BKS/thnail/696E1EF5F985491EB9D9F635BFA80C53.png/dims/resize/1200x1200
M25N3ARNP025N,운동화,10,M25N3ARNP025N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNP025N50WHS/thnail/E6554DAB58A94BDF8549DA224308B0AE.png/dims/resize/1200x1200
M25N3ARNP035N,운동화,9,M25N3ARNP035N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNP025N50WHS/thnail/E6554DAB58A94BDF8549DA224308B0AE.png/dims/resize/1200x1200
M25N3ASHCC25N,운동화,9,M25N3ASHCC25N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHCC25N07SIS/thnail/5471F26621A04A58B382C894EED872E3.png/dims/resize/1200x1200
M25N3ASHVT25N,운동화,9,M25N3ASHVT25N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHVT25N07BGS/thnail/117E5441D4CF48ABB3F1C514766A64B0.png/dims/resize/1200x1200
M25N3ASHVT35N,운동화,9,M25N3ASHVT35N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHVT35N50BRS/thnail/729E14BB15CF4A7682F6AD4B19A2BF7A.png/dims/resize/1200x1200
M25S3ALPS0253,시즌슈즈,8,M25S3ALPS0253.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ALPS025350BKS/thnail/D0ADD8B004564B7C9006E058F9246E44.png/dims/resize/1200x1200
M25N3ARNC035N,운동화,8,M25N3ARNC035N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNC035N50BKS/thnail/A4C47852D422426EAA284D43F435AF90.png/dims/resize/1200x1200
M26N3ASXMJ76N,캔버스화,8,M26N3ASXMJ76N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXMJ76N50WHS/thnail/17D6FB4261974EDE8FC7B30C349ED987.png/dims/resize/1200x1200
M25N3ASHVT55N,운동화,7,M25N3ASHVT55N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHVT55N50WHS/thnail/A9E04564CB0E46629F318EBEBCE205F6.png/dims/resize/1200x1200
M25N3ASHCC15N,운동화,6,M25N3ASHCC15N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHCC25N07SIS/thnail/5471F26621A04A58B382C894EED872E3.png/dims/resize/1200x1200
M25N3ASHW055N,운동화,6,M25N3ASHW055N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHWD15N50BKS/thnail/EE3F1AA4AC474F56B08C389030B7E61E.png/dims/resize/1200x1200
M26N3ASHWC26N,운동화,6,M26N3ASHWC26N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHWD15N50BKS/thnail/EE3F1AA4AC474F56B08C389030B7E61E.png/dims/resize/1200x1200
M26N3ASXMJ96N,캔버스화,6,M26N3ASXMJ96N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ASXMJ96N50SIS/thnail/B9F990974B3B442C87C303364BDFA317.png/dims/resize/1200x1200
M26N3ACVS036N,캔버스화,5,M26N3ACVS036N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M26N3ACVS026N07BLS/thnail/4311CBFAB52247128C12D7F0B601F221.png/dims/resize/1200x1200
M25S3ASQR0153,시즌슈즈,4,M25S3ASQR0153.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25S3ASQR015307BKS/thnail/22697BA0A14D4ABAB98D7F3C20544630.png/dims/resize/1200x1200
M25N3ASHW015N,운동화,2,M25N3ASHW015N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ASHWD15N50BKS/thnail/EE3F1AA4AC474F56B08C389030B7E61E.png/dims/resize/1200x1200
M25N3ARNSPL5N,운동화,1,M25N3ARNSPL5N.png,https://static-resource-mall.fnf.co.kr/mlb-korea/images/goods/ec/M25N3ARNSPL5N50BGL/thnail/A1F756939C7C4F7DA68C5C56FE97593D.png/dims/resize/1200x1200
